,POSTED_BY,UNDER_CONSTRUCTION,RERA,BHK_NO.,BHK_OR_RK,SQUARE_FT,READY_TO_MOVE,RESALE,ADDRESS,LONGITUDE,LATITUDE,PRICE_IN_LACS,RATIO
433,Owner,0,0,3,BHK,2500,1,1,Nagpur,21.094632,79.074805,67,37.3134328358209
949,Owner,0,1,4,BHK,2500,1,1,Jaipur,26.832353,75.841749,82.5,30.3030303030303
1795,Owner,0,0,2,BHK,2500,1,1,Bangalore,35,136,98.6,25.3549695740365
3289,Dealer,0,0,3,BHK,2500,1,1,Bangalore,13.2882,77.4214,120,20.8333333333333
4742,Owner,0,0,3,BHK,2500,1,1,Jaipur,26.878068,75.779856,140,17.8571428571429
6009,Owner,0,0,4,BHK,2500,1,1,Bangalore,12.9958935,77.761394,160,15.625
6530,Dealer,0,0,4,BHK,2500,1,1,Pune,18.52361,73.84778,170,14.7058823529412
8123,Dealer,0,1,4,BHK,2500,1,1,Pune,18.576018,73.793901,210,11.9047619047619
8124,Dealer,0,0,3,BHK,2500,1,1,Pune,18.52361,73.84778,210,11.9047619047619
8389,Dealer,0,0,3,BHK,2500,1,1,Jaipur,26.889691,75.809058,220,11.3636363636364
8656,Owner,0,0,3,BHK,2500,1,1,Bangalore,12.880475,75.022346,230,10.8695652173913
9001,Dealer,0,1,4,BHK,2500,1,1,Bangalore,35,136,250,10
9002,Owner,0,0,3,BHK,2500,1,1,Bangalore,12.9825,77.6059,250,10
9469,Dealer,0,0,4,BHK,2500,1,1,Bangalore,12.42773,75.72456,300,8.33333333333333
9470,Dealer,0,0,3,BHK,2500,1,1,Bangalore,28.5734,77.2307,300,8.33333333333333
9800,Owner,0,0,4,BHK,2500,1,1,Bangalore,12.96991,77.59796,350,7.14285714285714
10246,Dealer,0,0,5,BHK,2500,1,1,Mumbai,19.0242,73.0172,450,5.55555555555556
10368,Dealer,0,0,4,BHK,2500,1,1,Mumbai,19.227164,72.971621,480,5.20833333333333
10478,Dealer,1,0,4,BHK,2500,0,1,Bangalore,12.96991,77.59796,520,4.80769230769231
10489,Dealer,0,0,3,BHK,2500,1,1,Mumbai,19.05871,72.89969,530,4.71698113207547
10745,Dealer,0,0,4,BHK,2500,1,1,Mumbai,19.102075,72.841149,750,3.33333333333333
10794,Dealer,0,0,4,BHK,2500,1,1,Mumbai,19.0705,72.8309,850,2.94117647058824
10877,Dealer,0,0,3,BHK,2500,1,1,Mumbai,18.935883,72.825759,1350,1.85185185185185
10897,Dealer,0,0,3,BHK,2500,1,1,Mumbai,18.9147285,72.8202265,1800,1.38888888888889
1603,Dealer,0,0,4,BHK,2494.747899,1,1,Bangalore,12.995285,77.766797,95,26.2605042
7459,Dealer,0,0,4,BHK,2492.130115,1,1,Bangalore,12.953042,77.732643,190,13.1164742894737
8691,Dealer,0,0,4,BHK,2491.064659,1,1,Pune,18.510861,73.926175,230,10.8307159086957
1530,Owner,0,1,3,BHK,2489.40678,1,1,Bangalore,12.980033,77.699328,94,26.4830508510638
5491,Dealer,0,1,3,BHK,2485.089463,1,1,Bangalore,12.9958935,77.761394,150,16.5672630866667
4843,Dealer,0,0,4,BHK,2480.510276,1,1,Bangalore,12.904179,77.665897,140,17.7179305428571
