,POSTED_BY,UNDER_CONSTRUCTION,RERA,BHK_NO.,BHK_OR_RK,SQUARE_FT,READY_TO_MOVE,RESALE,ADDRESS,LONGITUDE,LATITUDE,PRICE_IN_LACS,RATIO
1,Dealer,1,0,2,BHK,7075.471698,0,1,Chennai,13.09,80.27,30,235.8490566
2,Owner,0,0,2,BHK,1889.020071,1,1,Chennai,12.852401,80.059339,32,59.03187721875
3,Owner,0,0,2,BHK,2040.816327,1,1,Chennai,12.957707,80.183671,35,58.3090379142857
4,Owner,0,0,2,BHK,2000,1,1,Chennai,12.9182,80.0824,34.4,58.1
5,Owner,0,0,1,BHK,1045.478306,1,1,Chennai,12.9182,80.0824,20,52.2739153
6,Dealer,0,0,2,BHK,2396.866841,1,1,Chennai,12.900422,80.159352,45.9,52.2193211546841
7,Owner,1,0,2,BHK,1800.411523,0,1,Chennai,12.824586,80.046842,35,51.4403292285714
8,Owner,0,0,2,BHK,1085.069444,1,1,Chennai,12.9799,79.9811,25,43.40277776
9,Owner,0,0,3,BHK,1605.136437,1,1,Chennai,10.782597,79.842124,40,40.128410925
10,Owner,0,0,6,BHK,3200,1,1,Chennai,12.7281,80.2014,80,40
11,Owner,0,0,2,BHK,800,1,1,Chennai,13.021267,80.183237,20,40
12,Dealer,0,0,2,BHK,700.0391083,1,1,Chennai,12.841795,80.133809,17.9,39.1083300726257
13,Dealer,0,0,2,BHK,698.6729118,1,1,Chennai,13.234221,80.212829,17.9,39.0320062458101
14,Owner,0,0,2,BHK,1941.747573,1,1,Chennai,13.129471,80.208888,50,38.83495146
15,Owner,0,0,2,BHK,2124.372345,1,1,Chennai,24.090195,87.990011,55,38.6249517272727
16,Dealer,0,0,2,BHK,698.8416988,1,1,Chennai,12.861274,80.142445,18.1,38.6100386077348
17,Owner,0,0,2,BHK,1000,1,1,Chennai,13.08389,80.27,26,38.5
18,Owner,0,1,2,BHK,820.2833706,1,1,Chennai,12.841795,80.133809,22,37.2856077545455
19,Dealer,0,0,2,BHK,697.0708194,1,1,Chennai,13.234221,80.212829,18.8,37.0782350744681
20,Owner,0,0,2,BHK,1184.30792,1,1,Chennai,13.1101,80.2095,32,37.0096225
21,Owner,0,0,2,BHK,880.0880088,1,1,Chennai,12.842686,80.063733,24,36.6703337
22,Owner,0,0,3,BHK,1247.327156,1,1,Chennai,12.78627,80.22042,35,35.6379187428571
23,Owner,0,0,1,BHK,599.8588567,1,1,Chennai,12.842686,80.063733,17,35.2858151
24,Owner,0,0,1,BHK,697.0227671,1,1,Chennai,13.09,80.27,19.9,35.0262697035176
25,Owner,0,0,3,BHK,1749.475157,1,1,Chennai,13.08389,80.27,50,34.98950314
26,Owner,0,0,1,BHK,550.1392758,1,1,Chennai,13.09,80.27,15.8,34.8189415063291
27,Owner,0,0,3,BHK,1600,1,1,Chennai,12.842686,80.063733,46,34.8
28,Owner,0,0,2,BHK,720.1646091,1,1,Chennai,13.09,80.27,21,34.2935528142857
29,Owner,0,0,3,BHK,1189.262657,1,1,Chennai,12.852171,80.216826,35,33.9789330571429
30,Owner,0,0,2,BHK,773.1092437,1,1,Chennai,13,79.98333,23,33.6134453782609
