,POSTED_BY,UNDER_CONSTRUCTION,RERA,BHK_NO.,BHK_OR_RK,SQUARE_FT,READY_TO_MOVE,RESALE,ADDRESS,LONGITUDE,LATITUDE,PRICE_IN_LACS,RATIO
2,Owner,0,0,3,BHK,1700.680272,1,1,Kolkata,22.69995,88.390833,20,85.0340136
3,Owner,0,0,2,BHK,870.0380642,1,1,Kolkata,22.65,88.34,16,54.3773790125
4,Dealer,1,0,2,BHK,699.195171,0,1,Kolkata,22.747639,88.600902,13.9,50.3018108633094
5,Dealer,0,0,1,BHK,402.0100503,1,1,Kolkata,22.747639,88.600902,8,50.2512562875
6,Dealer,1,0,2,BHK,783.1325301,0,1,Kolkata,22.680731,88.442807,15.6,50.2008032115385
7,Dealer,1,0,2,BHK,727.1815446,0,1,Kolkata,22.747639,88.600902,14.5,50.1504513517241
8,Dealer,0,0,3,BHK,1212.42485,1,1,Kolkata,22.747639,88.600902,24.2,50.1002004132231
9,Dealer,1,0,2,BHK,701.0515774,0,1,Kolkata,22.680731,88.442807,14,50.0751126714286
10,Owner,0,0,2,BHK,1050.525263,1,1,Kolkata,22.69995,88.390833,21,50.0250125238095
11,Owner,0,0,3,BHK,1500,1,1,Kolkata,22.69995,88.390833,30,50
12,Dealer,1,0,2,BHK,780,0,1,Kolkata,22.680731,88.442807,15.6,50
13,Dealer,1,0,2,BHK,750,0,1,Kolkata,22.747639,88.600902,15,50
14,Owner,0,0,2,BHK,650,1,1,Kolkata,22.7,88.35,13,50
15,Owner,0,0,1,BHK,600,1,1,Kolkata,22.7,88.35,12,50
16,Dealer,0,0,2,BHK,762.4633431,1,1,Kolkata,22.7,88.45,15.6,48.8758553269231
17,Dealer,0,0,2,BHK,760.9756098,1,1,Kolkata,22.7,88.45,15.6,48.7804878076923
18,Dealer,1,0,2,BHK,726.3107263,0,1,Kolkata,22.680731,88.442807,15.1,48.1000480993377
19,Dealer,0,0,2,BHK,740.7407407,1,1,Kolkata,22.747639,88.600902,15.4,48.1000480974026
20,Owner,0,0,2,BHK,1100.478469,1,1,Kolkata,22.69995,88.390833,23,47.8468899565217
21,Owner,0,0,2,BHK,890.3467666,1,1,Kolkata,22.69763,88.462075,19,46.8603561368421
22,Owner,0,0,2,BHK,780.306549,1,1,Kolkata,22.69995,88.390833,16.8,46.4468183928571
23,Dealer,0,0,2,BHK,785.2193995,1,1,Kolkata,22.617564,88.427982,17,46.1893764411765
24,Dealer,1,0,3,BHK,1100.412655,0,1,Kolkata,22.7,88.45,24,45.8505272916667
25,Owner,0,0,2,BHK,756.1869844,1,1,Kolkata,22.68333,88.36667,16.5,45.8295142060606
26,Dealer,1,0,3,BHK,870.3618873,0,1,Kolkata,22.69995,88.390833,19,45.8085203842105
27,Dealer,0,0,3,BHK,1236.263736,1,1,Kolkata,22.486821,88.233267,27,45.7875457777778
28,Dealer,1,0,2,BHK,706.7943456,0,1,Kolkata,22.7,88.45,15.5,45.5996352
29,Dealer,0,0,3,BHK,1207.289294,1,1,Kolkata,22.7,88.45,26.5,45.5580865660377
30,Dealer,1,0,2,BHK,902.0501139,0,1,Kolkata,22.7,88.45,19.8,45.5580865606061
31,Dealer,1,0,2,BHK,823.8507055,0,1,Kolkata,22.7,88.45,18.1,45.5166135635359
32,Dealer,0,0,2,BHK,850,1,1,Kolkata,22.680731,88.442807,18.7,45.5
33,Owner,0,0,2,BHK,840.1453224,1,1,Kolkata,22.65921,88.4384,18.5,45.4132606702703
34,Owner,0,0,2,BHK,860.1177003,1,1,Kolkata,22.72,88.38,19,45.2693526473684
35,Dealer,1,0,2,BHK,750.1129688,0,1,Kolkata,22.7,88.45,16.6,45.1875282409639
36,Owner,0,0,2,BHK,828.1110116,1,1,Kolkata,22.72,88.38,18.5,44.7627573837838
37,Dealer,1,0,2,BHK,903.024911,0,1,Kolkata,22.7,88.45,20.3,44.4839857635468
38,Dealer,0,0,1,BHK,697.7777778,1,1,Kolkata,22.484604,88.353705,15.7,44.4444444458599
39,Dealer,0,0,3,BHK,1022.222222,1,1,Kolkata,22.7,88.35,23,44.4444444347826
40,Dealer,1,0,2,BHK,760,0,1,Kolkata,22.675548,88.352674,17.1,44.4
41,Owner,0,0,2,BHK,882.2232025,1,1,Kolkata,22.68333,88.36667,20,44.111160125
42,Owner,0,0,2,BHK,1100.352113,1,1,Kolkata,22.598675,88.438512,25,44.01408452
43,Owner,0,0,1,BHK,660.2112676,1,1,Kolkata,22.681764,88.469366,15,44.0140845066667
44,Dealer,0,0,2,BHK,700.2188184,1,1,Kolkata,22.479986,88.372755,16,43.76367615
45,Dealer,1,0,2,BHK,689.9563319,0,1,Kolkata,22.680731,88.442807,15.8,43.6681222721519
46,Dealer,0,0,2,BHK,850.043592,1,1,Kolkata,22.403867,88.470006,19.5,43.5919790769231
47,Owner,0,0,2,BHK,1000,1,1,Kolkata,22.7,88.35,23,43.5
48,Dealer,0,0,3,BHK,1000.434972,1,1,Kolkata,22.85625,88.21678,23,43.4971726956522
49,Dealer,0,0,3,BHK,1073.913043,1,1,Kolkata,22.682359,88.355021,24.7,43.4782608502024
50,Owner,0,0,5,BHK,1390.095569,1,1,Kolkata,22.626024,88.385793,32,43.44048653125
51,Owner,0,0,2,BHK,868.0555556,1,1,Kolkata,22.617564,88.427982,20,43.40277778
52,Dealer,1,0,2,BHK,693.2409012,0,1,Kolkata,22.62,88.24,16,43.327556325
53,Owner,0,0,2,BHK,735.2941176,1,1,Kolkata,22.617564,88.427982,17,43.2525951529412
54,Owner,0,0,1,BHK,600.0857265,1,1,Kolkata,22.67,88.35,14,42.8632661785714
55,Dealer,0,0,2,BHK,848.2523444,1,1,Kolkata,22.7,88.45,19.9,42.6257459497487
56,Owner,0,0,3,BHK,1065.189604,1,1,Kolkata,22.747639,88.600902,25,42.60758416
57,Owner,0,0,3,BHK,1020.842195,1,1,Kolkata,22.747639,88.600902,24,42.5350914583333
58,Owner,0,0,2,BHK,850.3401361,1,1,Kolkata,22.648322,88.4431525,20,42.517006805
59,Owner,0,0,2,BHK,765.3061224,1,1,Kolkata,22.690183,88.454886,18,42.5170068
60,Dealer,0,0,2,BHK,849.9787505,1,1,Kolkata,22.617564,88.427982,20,42.498937525
61,Owner,0,0,2,BHK,757.2570467,1,1,Kolkata,22.69995,88.390833,18,42.0698359277778
62,Owner,0,0,2,BHK,735.2941176,1,1,Kolkata,22.648322,88.4431525,17.5,42.01680672
63,Dealer,1,0,3,BHK,961.9406106,0,1,Kolkata,22.747639,88.600902,23,41.8235048086957
64,Owner,0,0,2,BHK,710.1086048,1,1,Kolkata,22.674189,88.38324,17,41.7710944
65,Dealer,0,0,2,BHK,975,1,1,Kolkata,22.54111,88.33778,23.4,41.7
66,Owner,0,0,2,BHK,1050.247117,1,1,Kolkata,22.7,88.35,25.5,41.1861614509804
67,Owner,0,0,1,BHK,650.1422186,1,1,Kolkata,22.72,88.38,16,40.6338886625
68,Dealer,0,0,2,BHK,851.2363194,1,1,Kolkata,22.617564,88.427982,21,40.5350628285714
69,Owner,0,0,3,BHK,1700.404858,1,1,Kolkata,22.7,88.45,42,40.485829952381
70,Owner,0,0,3,BHK,1133.144476,1,1,Kolkata,22.67,88.35,28,40.4694455714286
71,Dealer,0,0,2,BHK,705.0765512,1,1,Kolkata,22.459169,88.364505,17.5,40.29008864
72,Dealer,0,0,2,BHK,884.9557522,1,1,Kolkata,22.54111,88.33778,22,40.2252614636364
73,Dealer,0,0,2,BHK,960.3841537,1,1,Kolkata,22.54111,88.33778,24,40.0160064041667
74,Dealer,1,0,3,BHK,932.3729492,0,1,Kolkata,22.4426,88.4304,23.3,40.0160064034335
75,Owner,0,0,2,BHK,1200,1,1,Kolkata,22.69995,88.390833,30,40
76,Dealer,0,0,3,BHK,1000,1,1,Kolkata,22.617564,88.427982,25,40
77,Dealer,0,0,2,BHK,844,1,1,Kolkata,22.69995,88.390833,21.1,40
78,Dealer,1,0,2,BHK,800,0,1,Kolkata,22.4426,88.4304,20,40
79,Dealer,0,0,2,BHK,796,1,1,Kolkata,22.7,88.45,19.9,40
80,Dealer,0,0,2,BHK,792,1,1,Kolkata,22.69995,88.390833,19.8,40
81,Dealer,0,0,2,BHK,788,1,1,Kolkata,22.69995,88.390833,19.7,40
82,Dealer,0,0,2,BHK,748,1,1,Kolkata,22.617564,88.427982,18.7,40
83,Owner,0,0,3,BHK,998.8014383,1,1,Kolkata,22.630965,88.378465,25,39.952057532
84,Dealer,0,0,2,BHK,775.0699161,1,1,Kolkata,22.7,88.45,19.4,39.9520575309278
85,Owner,0,0,3,BHK,1078.705553,1,1,Kolkata,22.6581,88.3852,27,39.9520575185185
86,Owner,0,0,2,BHK,950.1187648,1,1,Kolkata,22.68333,88.36667,24,39.5882818666667
87,Dealer,0,0,2,BHK,712.0253165,1,1,Kolkata,22.54111,88.33778,18,39.5569620277778
88,Dealer,0,0,2,BHK,775.0098853,1,1,Kolkata,22.7,88.45,19.6,39.5413206785714
89,Owner,0,0,2,BHK,947.1191792,1,1,Kolkata,22.72,88.38,24,39.4632991333333
90,Dealer,1,0,1,BHK,510.0039231,0,1,Kolkata,22.608638,88.238067,13,39.2310710076923
91,Owner,0,0,3,BHK,1562.5,1,1,Kolkata,22.75,88.34,40,39.1
92,Dealer,0,0,2,BHK,676.0453302,1,1,Kolkata,22.301625,88.242147,17.3,39.0777647514451
93,Dealer,0,0,2,BHK,698.9457243,1,1,Kolkata,22.301625,88.242147,17.9,39.0472471675978
94,Owner,0,0,4,BHK,1558.23919,1,1,Kolkata,22.675575,88.142224,40,38.95597975
