,POSTED_BY,UNDER_CONSTRUCTION,RERA,BHK_NO.,BHK_OR_RK,SQUARE_FT,READY_TO_MOVE,RESALE,ADDRESS,LONGITUDE,LATITUDE,PRICE_IN_LACS,RATIO
117,Owner,0,0,1,BHK,750,1,1,Pune,18.52783,73.875757,30,25
118,Owner,0,0,1,BHK,700,1,1,Pune,19.576822,74.201197,28,25
119,Owner,0,1,1,BHK,700,1,1,Pune,18.49667,73.94167,28,25
120,Dealer,0,0,1,BHK,625,1,1,Pune,18.52783,73.875757,25,25
121,Owner,0,0,1,BHK,625,1,1,Pune,18.442587,73.829832,25,25
122,Dealer,1,0,1,BHK,550,0,1,Pune,18.144044,74.569395,22,25
123,Owner,0,0,1,BHK,450,1,1,Pune,19.524064,75.057956,18,25
124,Owner,0,0,1,BHK,574.1387918,1,1,Pune,18.5823,73.983,23,24.9625561652174
125,Dealer,1,1,2,BHK,962.926101,0,1,Pune,18.669919,73.853723,38.7,24.8818113953488
126,Owner,0,0,2,BHK,895.0770761,1,1,Pune,18.441256,74.647361,36,24.8632521138889
127,Owner,0,1,2,BHK,620.0396825,1,1,Pune,18.52361,73.84778,25,24.8015873
128,Owner,0,0,1,BHK,916.0683337,1,1,Pune,18.52361,73.84778,37,24.7586036135135
129,Dealer,0,1,2,BHK,990.0990099,1,1,Pune,45.073846,7.680335,40,24.7524752475
130,Dealer,0,0,3,BHK,1509.153884,1,1,Pune,18.452663,73.93104,61,24.7402276065574
131,Owner,0,1,1,BHK,692.0415225,1,1,Pune,18.5823,73.983,28,24.7157686607143
132,Owner,0,0,2,BHK,740.0098668,1,1,Pune,18.347616,73.586463,30,24.66699556
133,Dealer,0,0,2,BHK,985.2216749,1,1,Pune,18.637802,73.745912,40,24.6305418725
134,Owner,0,0,2,BHK,800.0984737,1,1,Pune,18.441256,74.647361,32.5,24.6184145753846
135,Owner,0,1,2,BHK,880.0393314,1,1,Pune,18.5084,73.6892,35.8,24.5821042290503
136,Dealer,0,0,3,BHK,1446.078431,1,1,Pune,18.669919,73.853723,59,24.5098039152542
137,Dealer,0,0,2,BHK,1224.88976,1,1,Pune,18.637802,73.745912,50,24.4977952
138,Owner,0,0,2,BHK,979.9118079,1,1,Pune,18.430375,73.815337,40,24.4977951975
139,Dealer,1,1,2,BHK,880.195599,0,1,Pune,19.085225,73.661835,36,24.44987775
140,Dealer,0,0,2,BHK,1001.221001,1,1,Pune,18.440853,73.90536,41,24.4200244146341
141,Dealer,1,0,2,BHK,898.2182084,0,1,Pune,18.669919,73.853723,36.8,24.4081034891304
142,Dealer,0,0,1,BHK,900.024325,1,1,Pune,18.47248,73.834208,37,24.3249817567568
143,Dealer,1,1,2,BHK,899.8054475,0,1,Pune,19.910551,74.283241,37,24.3190661486486
144,Owner,0,0,2,BHK,850.1335924,1,1,Pune,20.934264,77.783878,35,24.2895312114286
145,Dealer,1,1,2,BHK,860.1889993,0,1,Pune,19.085225,73.661835,35.5,24.2306760366197
146,Owner,0,1,2,BHK,1017.195447,1,1,Pune,18.700817,73.685514,42,24.2189392142857
147,Dealer,1,0,2,BHK,1178.606002,0,1,Pune,18.669919,73.853723,48.7,24.2013552772074
148,Dealer,0,0,1,BHK,605.0338819,1,1,Pune,18.664297,73.734374,25,24.201355276
149,Owner,0,0,1,BHK,605.0338819,1,1,Pune,18.651598,73.735448,25,24.201355276
150,Dealer,0,0,2,BHK,800,1,1,Pune,18.5823,73.983,33,24.2
151,Dealer,1,1,2,BHK,749.3352671,0,1,Pune,18.490075,73.968862,31,24.1721053903226
152,Owner,0,0,1,BHK,650.1324344,1,1,Pune,18.46471,73.860087,27,24.0789790518519
153,Owner,0,0,2,BHK,770.156438,1,1,Pune,18.570308,74.022479,32,24.0673886875
154,Owner,0,0,2,BHK,770.156438,1,1,Pune,18.53,73.84,32,24.0673886875
155,Owner,0,1,2,BHK,890.0649507,1,1,Pune,18.5084,73.6892,37,24.0558094783784
156,Dealer,1,1,2,BHK,890.0649507,0,1,Pune,19.085225,73.661835,37,24.0558094783784
157,Owner,0,0,2,BHK,600.0960154,1,1,Pune,18.608399,73.701287,25,24.003840616
158,Dealer,1,1,1,BHK,600.0960154,0,1,Pune,18.68318,73.872361,25,24.003840616
159,Dealer,0,0,2,BHK,864.1382621,1,1,Pune,18.5823,73.983,36,24.0038406138889
160,Owner,0,1,1,BHK,599.6641881,1,1,Pune,18.744775,73.823649,25,23.986567524
161,Owner,0,0,2,BHK,1000,1,1,Pune,18.700817,73.685514,42,23.8
162,Dealer,0,0,1,BHK,690.1475488,1,1,Pune,18.52361,73.84778,29,23.798191337931
163,Owner,0,1,1,BHK,570.0712589,1,1,Pune,18.74542,73.628992,24,23.7529691208333
164,Dealer,1,1,2,BHK,1099.76247,0,1,Pune,18.6182,73.7447,46.3,23.7529691144708
165,Owner,0,0,2,BHK,900.0473709,1,1,Pune,18.430375,73.815337,38,23.6854571289474
166,Owner,0,0,2,BHK,828.0104093,1,1,Pune,18.52783,73.875757,35,23.6574402657143
167,Dealer,1,1,2,BHK,780.141844,0,1,Pune,18.5823,73.983,33,23.6406619393939
168,Dealer,1,0,2,BHK,849.8583569,0,1,Pune,18.5823,73.983,36,23.6071765805556
169,Owner,0,0,1,BHK,625,1,1,Pune,18.728857,73.659488,26.5,23.6
170,Owner,0,0,1,BHK,588.0969184,1,1,Pune,18.744775,73.823649,25,23.523876736
171,Owner,0,0,2,BHK,2000,1,1,Pune,18.52361,73.84778,85,23.5
172,Dealer,0,1,3,BHK,1500,1,1,Pune,18.52361,73.84778,63.9,23.5
173,Dealer,1,1,1,BHK,845.0704225,0,1,Pune,18.6182,73.7447,36,23.4741784027778
174,Owner,0,0,1,BHK,610.0422337,1,1,Pune,18.52361,73.84778,26,23.4631628346154
175,Dealer,0,0,1,BHK,985.2216749,1,1,Pune,18.5823,73.983,42,23.4576589261905
176,Owner,0,0,2,BHK,749.9414108,1,1,Pune,18.744775,73.823649,32,23.4356690875
177,Dealer,0,0,2,BHK,1053.124269,1,1,Pune,18.651598,73.735448,45,23.4027615333333
178,Dealer,0,1,2,BHK,1082.028511,1,1,Pune,18.5823,73.983,46.3,23.3699462419006
179,Dealer,1,0,1,BHK,743.0701141,0,1,Pune,19.085225,73.661835,31.9,23.293733984326
180,Dealer,0,0,2,BHK,1073.919107,1,1,Pune,45.073846,7.680335,46.2,23.2450023160173
181,Dealer,0,1,1,BHK,694.8640483,1,1,Pune,18.5823,73.983,29.9,23.239600277592
182,Owner,0,0,3,BHK,1278.178015,1,1,Pune,18.744775,73.823649,55,23.2396002727273
183,Owner,0,0,1,BHK,511.0336818,1,1,Pune,18.72,73.68,22,23.2288037181818
184,Dealer,0,1,4,BHK,1811.00534,1,1,Pune,18.669919,73.853723,78,23.2180171794872
185,Owner,0,1,1,BHK,580.0464037,1,1,Pune,18.52361,73.84778,25,23.201856148
186,Dealer,1,1,2,BHK,844.9074074,0,1,Pune,19.085225,73.661835,36.5,23.1481481479452
187,Dealer,0,0,3,BHK,1665.124884,1,1,Pune,18.452663,73.93104,72,23.1267345
188,Dealer,0,1,2,BHK,1294.797688,1,1,Pune,18.452663,73.93104,56,23.1213872857143
189,Dealer,0,1,1,BHK,670.0554529,1,1,Pune,18.486057,73.973718,29,23.1053604448276
190,Dealer,0,1,2,BHK,1131.901132,1,1,Pune,18.714661,73.678196,49,23.1000231020408
191,Dealer,1,1,2,BHK,970.2009702,0,1,Pune,18.673472,73.714564,42,23.1000231
192,Dealer,1,1,2,BHK,877.1929825,0,1,Pune,18.669919,73.853723,38,23.0840258552632
193,Dealer,0,0,1,BHK,600.0461574,1,1,Pune,19.891606,74.473267,26,23.0786983615385
194,Owner,0,0,2,BHK,1037.105324,1,1,Pune,18.452663,73.93104,45,23.0467849777778
195,Dealer,0,1,4,BHK,1799.953906,1,1,Pune,18.669919,73.853723,78.1,23.0467849679898
196,Owner,0,0,2,BHK,806.0801474,1,1,Pune,18.518797,73.933947,35,23.0308613542857
197,Dealer,0,1,2,BHK,964.5488029,1,1,Pune,18.669919,73.853723,41.9,23.0202578257757
198,Owner,0,0,1,BHK,575.1092708,1,1,Pune,19.11667,73.73333,25,23.004370832
199,Dealer,0,1,1,BHK,598.1136416,1,1,Pune,18.595456,73.946088,26,23.0043708307692
200,Dealer,0,0,2,BHK,803.1206976,1,1,Pune,18.669919,73.853723,35,22.9463056457143
201,Dealer,0,1,2,BHK,972.0311784,1,1,Pune,18.669919,73.853723,42.4,22.9252636415094
202,Dealer,0,0,1,BHK,623.4242494,1,1,Pune,18.5823,73.983,27.2,22.9200091691176
203,Dealer,1,1,3,BHK,1260.311641,0,0,Pune,18.5853,73.7413,55,22.9147571090909
204,Dealer,0,0,2,BHK,1054.078827,1,1,Pune,23.803487,80.390045,46,22.9147571086957
205,Owner,0,1,1,BHK,630.0114548,1,1,Pune,18.5823,73.983,27.5,22.9095074472727
206,Dealer,1,1,2,BHK,966.7812142,0,1,Pune,18.669919,73.853723,42.2,22.9095074454976
