POSTED_BY,UNDER_CONSTRUCTION,RERA,BHK_NO.,BHK_OR_RK,SQUARE_FT,READY_TO_MOVE,RESALE,ADDRESS,LONGITUDE,LATITUDE,PRICE_IN_LACS,RATIO
Owner,0,1,5,BHK,7000.0,1,1,"Adarsh Nagar,Durg",21.172653,81.289537,140.0,50.0
Owner,0,0,3,BHK,4500.0,1,1,"Lambhvel,Anand",22.593463,72.931875,90.0,50.0
Owner,0,0,3,BHK,2000.0,1,1,"Sector-9 Mansarovar,Jaipur",26.8626,75.7633,40.0,50.0
Owner,0,0,2,BHK,1600.0,1,1,"Makarpura,Vadodara",22.241240000000000,73.200301,32.0,50.0
Owner,0,0,3,BHK,1550.0,1,1,"Katara Hills,Bhopal",23.185756,77.498465,31.0,50.0
Owner,0,1,4,BHK,1500.0,1,1,"Ashiana Colony,Chandigarh",30.594593,76.850121,30.0,50.0
Owner,0,0,3,BHK,1500.0,1,1,"Sodepur,Kolkata",22.69995,88.390833,30.0,50.0
Builder,1,1,3,BHK,1500.0,0,0,"Bhayli,Vadodara",22.288976,73.128222,30.0,50.0
Owner,0,0,3,BHK,1500.0,1,1,"govadhan road,Mathura",27.494145,77.465069,30.0,50.0
Dealer,0,1,3,BHK,1400.0,1,1,"Dera Bassi,Chandigarh",30.594843,76.84983000000000,28.0,50.0
Dealer,0,0,2,BHK,1400.0,1,1,"Vallabh Vidyanagar,Anand",22.706116,73.11498,28.0,50.0
Dealer,0,0,3,BHK,1350.0,1,1,"Mundla Nayta,Indore",22.665579,75.911139,27.0,50.0
Owner,0,1,3,BHK,1350.0,1,1,"Bhayli,Vadodara",22.288976,73.128222,27.0,50.0
Dealer,1,0,3,BHK,1350.0,0,1,"Shahjahanabad,Bhopal",23.273009,77.396415,27.0,50.0
Owner,0,0,2,BHK,1350.0,1,1,"Adoor,Pathanamthitta",9.26472,76.78722000000000,27.0,50.0
Builder,0,0,2,BHK,1315.0,1,0,"Hoshangabad Road,Bhopal",22.75,77.72,26.3,50.0
Dealer,0,0,3,BHK,1300.0,1,1,"Jagatpura,Jaipur",26.832353,75.841749,26.0,50.0
Dealer,0,0,2,BHK,1300.0,1,1,"Sector-24 Dharuhera,Dharuhera",28.22,76.78,26.0,50.0
Owner,0,0,2,BHK,1300.0,1,1,"Makarpura,Vadodara",22.241240000000000,73.200301,26.0,50.0
Dealer,1,0,2,BHK,1300.0,0,1,"Sector-24 Dharuhera,Dharuhera",28.22,76.78,26.0,50.0
Owner,0,0,3,BHK,1250.0,1,1,"Kherado,Alwar",27.545136,76.650497,25.0,50.0
Owner,0,0,2,BHK,1250.0,1,1,"Ajmer Road,Jaipur",26.928785000000000,75.828002,25.0,50.0
Owner,0,0,2,BHK,1250.0,1,1,"Mangamoor Road,akshaya Towers,Ongole",15.5,80.05,25.0,50.0
Owner,0,1,3,BHK,1200.0,1,1,"Kharar,Mohali",30.74,76.65,24.0,50.0
Owner,0,0,3,BHK,1200.0,1,1,"Ankleshwar,Bharuch",21.6,73.0,24.0,50.0
Owner,0,0,3,BHK,1200.0,1,1,"Santram deri road,Nadiad",23.065306,88.62366900000000,24.0,50.0
Dealer,0,1,3,BHK,1200.0,1,1,"Ajmer Road,Jaipur",26.928785000000000,75.828002,24.0,50.0
Owner,1,0,2,BHK,1200.0,0,1,"Alwar Bhiwadi Road,Bhiwadi",28.21,76.87,24.0,50.0
Owner,0,0,2,BHK,1200.0,1,1,"Kharar,Mohali",30.74,76.65,24.0,50.0
Dealer,0,0,2,BHK,1150.0,1,1,"Ajwa Road,Vadodara",22.3,73.2,23.0,50.0
