,POSTED_BY,UNDER_CONSTRUCTION,RERA,BHK_NO.,BHK_OR_RK,SQUARE_FT,READY_TO_MOVE,RESALE,ADDRESS,LONGITUDE,LATITUDE,PRICE_IN_LACS,RATIO
1,Dealer,0,0,3,BHK,16011.64483,1,1,Bangalore,12.8891,77.5973,110,145.560407545455
2,Owner,0,0,2,BHK,5764.075067,1,1,Bangalore,12.96991,77.59796,43,134.048257372093
3,Owner,0,0,3,BHK,10410.9589,1,1,Bangalore,12.9521,77.576835,190,54.7945205263158
4,Dealer,0,0,2,BHK,657.6200418,1,1,Bangalore,12.732961,77.707059,12.6,52.1920668095238
5,Dealer,0,0,2,BHK,1022.395326,1,1,Bangalore,12.96991,77.59796,21,48.6854917142857
6,Owner,0,0,2,BHK,675.024108,1,1,Bangalore,12.994801,77.435602,14,48.2160077142857
7,Owner,0,0,2,BHK,660.2112676,1,1,Bangalore,12.8458,77.6727,15,44.0140845066667
8,Owner,0,0,2,BHK,657.8947368,1,1,Bangalore,12.8458,77.6727,15,43.85964912
9,Owner,0,0,2,BHK,600.0857265,1,1,Bangalore,13.069025,77.49814,14,42.8632661785714
10,Owner,0,0,3,BHK,1450.511945,1,1,Bangalore,12.82,77.69,34,42.6621160294118
11,Dealer,0,1,2,BHK,1100.296234,1,1,Bangalore,12.86,77.786,26,42.3190859230769
12,Owner,0,0,2,BHK,1350.21097,1,1,Bangalore,13.2882,77.4214,32,42.1940928125
13,Owner,0,0,2,BHK,1800.670017,1,1,Bangalore,13.035865,77.598244,43,41.8760469069767
14,Owner,0,1,3,BHK,1250,1,1,Bangalore,12.8458,77.6727,30,41.7
15,Dealer,0,0,2,BHK,991.2536443,1,1,Bangalore,12.8458,77.6727,23.8,41.6493127857143
16,Owner,0,0,2,BHK,700.1647446,1,1,Bangalore,12.97494,77.564159,17,41.1861614470588
17,Owner,0,0,2,BHK,675.1227496,1,1,Bangalore,12.994801,77.435602,16.5,40.9165302787879
18,Builder,0,1,2,BHK,897.9591837,1,0,Bangalore,12.86,77.786,22,40.8163265318182
19,Dealer,0,0,2,BHK,987.1071716,1,1,Bangalore,12.863492,77.74143,24.5,40.2900886367347
20,Owner,0,0,2,BHK,1680,1,1,Bangalore,13.163056,77.650201,42,40
21,Owner,0,0,2,BHK,1000,1,1,Bangalore,12.8458,77.6727,25,40
22,Owner,0,0,1,BHK,600,1,1,Bangalore,12.8458,77.6727,15,40
23,Owner,0,0,1,BHK,400,1,1,Bangalore,12.7768,77.76887,10,40
24,Owner,0,0,2,BHK,598.8023952,1,1,Bangalore,12.840956,77.659441,15,39.92015968
25,Owner,0,0,2,BHK,968.2416731,1,1,Bangalore,12.7768,77.76887,25,38.729666924
26,Owner,0,0,2,BHK,600.0774293,1,1,Bangalore,12.80009,77.71182,15.5,38.7146728580645
27,Owner,0,0,2,BHK,850.0772798,1,1,Bangalore,12.8458,77.6727,22,38.6398763545455
28,Owner,0,0,2,BHK,1000,1,1,Bangalore,12.8458,77.6727,26,38.5
29,Dealer,0,0,2,BHK,970.3196347,1,1,Bangalore,13.1479,77.4179,25.5,38.0517503803922
30,Dealer,0,0,2,BHK,965.1778955,1,1,Bangalore,12.840956,77.659441,25.5,37.8501135490196
31,Owner,0,0,2,BHK,900.1512859,1,1,Bangalore,13.069025,77.49814,23.8,37.8214826008403
32,Owner,0,0,3,BHK,1699.39577,1,1,Bangalore,13.11389,77.59833,45,37.7643504444444
33,Owner,0,0,2,BHK,1050.262566,1,1,Bangalore,12.96991,77.59796,28,37.5093773571429
34,Dealer,0,0,2,BHK,900.2250563,1,1,Bangalore,12.96991,77.59796,24,37.5093773458333
35,Owner,0,0,2,BHK,820.2833706,1,1,Bangalore,13.144144,77.340868,22,37.2856077545455
36,Dealer,0,1,2,BHK,1000,1,1,Bangalore,12.78827,77.705583,27,37
37,Owner,1,0,3,BHK,2400.295421,0,1,Bangalore,13.141581,77.749756,65,36.9276218615385
38,Owner,0,0,3,BHK,1100.110011,1,1,Bangalore,12.8458,77.6727,30,36.6703337
39,Owner,0,0,2,BHK,1136.363636,1,1,Bangalore,12.96991,77.59796,31,36.656891483871
40,Owner,0,0,3,BHK,2555.677254,1,1,Bangalore,12.8458,77.6727,70,36.5096750571429
41,Owner,0,0,3,BHK,1275.045537,1,1,Bangalore,12.840956,77.659441,35,36.4298724857143
42,Owner,0,0,2,BHK,800,1,1,Bangalore,12.796202,77.728448,22,36.4
43,Owner,0,0,2,BHK,898.1818182,1,1,Bangalore,13.069025,77.49814,24.7,36.3636363643725
44,Owner,0,0,2,BHK,1560.232221,1,1,Bangalore,12.808137,77.58308,43,36.284470255814
45,Dealer,1,0,1,BHK,610.1938263,0,1,Bangalore,12.96991,77.59796,17,35.8937544882353
46,Builder,1,0,2,BHK,871.7399071,0,0,Bangalore,12.86,77.786,24.4,35.7270453729508
47,Builder,1,1,2,BHK,914.2857143,0,0,Bangalore,12.80009,77.71182,25.6,35.7142857148438
