,POSTED_BY,UNDER_CONSTRUCTION,RERA,BHK_NO.,BHK_OR_RK,SQUARE_FT,READY_TO_MOVE,RESALE,ADDRESS,LONGITUDE,LATITUDE,PRICE_IN_LACS,RATIO
1,Dealer,0,0,2,BHK,950.1187648,1,1,Noida,28.564519,77.366816,16,59.3824228
2,Dealer,0,0,2,BHK,850.3401361,1,1,Noida,28.564519,77.366816,15,56.6893424066667
3,Dealer,0,0,2,BHK,950.2515372,1,1,Noida,28.564519,77.366816,17,55.8971492470588
4,Dealer,0,0,2,BHK,950.2515372,1,1,Noida,28.564519,77.366816,17,55.8971492470588
5,Dealer,0,0,2,BHK,947.4232171,1,1,Noida,28.564519,77.366816,18.2,52.0562207197802
6,Dealer,0,0,2,BHK,900.2057613,1,1,Noida,28.564519,77.366816,17.5,51.4403292171429
7,Dealer,0,0,2,BHK,979.0550414,1,1,Noida,28.538774,77.366515,20.1,48.709206039801
8,Dealer,0,0,2,BHK,930.3435115,1,1,Noida,28.56158,77.374755,19.5,47.7099236666667
9,Owner,0,1,4,BHK,5200.945626,1,1,Noida,28.567633,77.383124,110,47.2813238727273
10,Dealer,0,0,2,BHK,985.452839,1,1,Noida,28.538774,77.366515,21,46.9263256666667
11,Dealer,0,0,2,BHK,940.3669725,1,1,Noida,28.538774,77.366515,20.5,45.8715596341463
12,Dealer,0,0,2,BHK,820.0455581,1,1,Noida,28.588021,77.391359,18,45.5580865611111
13,Dealer,0,0,2,BHK,899.7429306,1,1,Noida,28.604098,77.391254,21,42.8449014571429
14,Dealer,0,0,2,BHK,1000,1,1,Noida,28.588021,77.391359,24,41.7
15,Dealer,0,0,2,BHK,985.2216749,1,1,Noida,28.57,77.32,24,41.0509031208333
16,Dealer,0,0,1,BHK,652.2625357,1,1,Noida,28.588021,77.391359,16,40.76640848125
17,Owner,0,0,2,BHK,10891.4885,1,1,Noida,28.569103,77.316106,270,40.3388462962963
18,Dealer,0,1,4,BHK,4405.286344,1,1,Noida,28.506454,77.409568,110,40.0480576727273
19,Dealer,0,0,1,BHK,667.4612634,1,1,Noida,28.588021,77.391359,16.8,39.7298371071429
20,Dealer,0,0,2,BHK,1050.336901,1,1,Noida,28.57,77.32,26.5,39.635354754717
21,Dealer,0,1,3,BHK,1347.068146,1,1,Noida,28.44414,77.465898,34,39.6196513529412
22,Dealer,0,0,1,BHK,650.1182033,1,1,Noida,28.593566,77.362752,16.5,39.401103230303
23,Owner,0,0,2,BHK,1180.173092,1,1,Noida,28.585634,77.378658,30,39.3391030666667
24,Dealer,0,0,2,BHK,873.1401723,1,1,Noida,28.538774,77.366515,22.3,39.1542678161435
25,Dealer,0,0,4,BHK,3600.782779,1,1,Noida,28.506454,77.409568,92,39.13894325
26,Owner,0,0,2,BHK,1250,1,1,Noida,28.588742,77.32101,32,39.1
27,Dealer,0,0,1,BHK,618.9178669,1,1,Noida,28.594716,77.375984,15.9,38.9256520062893
28,Dealer,0,0,1,BHK,621.1180124,1,1,Noida,28.594716,77.375984,16,38.819875775
29,Dealer,0,0,1,BHK,309.9573809,1,1,Noida,28.538774,77.366515,8,38.7446726125
30,Owner,0,0,1,BHK,540.1234568,1,1,Noida,28.602325,77.401994,14,38.5802469142857
31,Dealer,0,0,2,BHK,798.1580967,1,1,Noida,28.538774,77.366515,20.8,38.3729854182692
32,Dealer,0,1,2,BHK,953.2924962,1,1,Noida,28.44414,77.465898,24.9,38.2848392048193
33,Dealer,0,1,2,BHK,925.4302103,1,1,Noida,28.44414,77.465898,24.2,38.2409177809917
34,Dealer,0,1,2,BHK,951.1077158,1,1,Noida,28.44414,77.465898,24.9,38.1970970200803
35,Dealer,0,0,2,BHK,979.7941289,1,1,Noida,28.536585,77.383669,25.7,38.1242851712062
36,Dealer,0,0,2,BHK,980.2431611,1,1,Noida,28.57,77.32,25.8,37.9939209728682
37,Dealer,0,0,3,BHK,1400.454201,1,1,Noida,28.552626,77.333948,37,37.8501135405405
38,Dealer,0,0,2,BHK,900.1512859,1,1,Noida,28.537227,77.370417,23.8,37.8214826008403
39,Dealer,1,1,3,BHK,1174.027935,0,1,Noida,28.579004,77.431173,31.1,37.7500943729904
40,Dealer,0,0,2,BHK,973.3183014,1,1,Noida,28.588021,77.391359,25.9,37.5798571969112
41,Dealer,0,0,2,BHK,848.985725,1,1,Noida,28.5688,77.3425,22.6,37.5657400442478
42,Dealer,0,0,2,BHK,1050.262566,1,1,Noida,28.552626,77.333948,28,37.5093773571429
43,Dealer,0,1,3,BHK,1346.801347,1,1,Noida,28.44414,77.465898,36,37.4111485277778
44,Dealer,1,0,2,BHK,977.6119403,0,1,Noida,28.57,77.32,26.2,37.3134328358779
45,Dealer,0,0,1,BHK,615.212528,1,1,Noida,28.538774,77.366515,16.5,37.2856077575758
46,Dealer,0,0,2,BHK,985.1301115,1,1,Noida,28.57,77.32,26.5,37.1747211886792
47,Dealer,1,0,2,BHK,1033.457249,0,1,Noida,28.553374,77.355611,27.8,37.1747211870504
48,Dealer,0,1,3,BHK,1292.944219,1,1,Noida,28.44414,77.465898,35,36.9412634
49,Dealer,0,0,2,BHK,986.3317325,1,1,Noida,28.553374,77.355611,26.7,36.9412633895131
50,Dealer,0,0,2,BHK,1048.565121,1,1,Noida,28.57,77.32,28.5,36.7917586315789
51,Dealer,0,0,2,BHK,985.2941176,1,1,Noida,28.553374,77.355611,26.8,36.764705880597
52,Dealer,0,0,2,BHK,1100.110011,1,1,Noida,28.57,77.32,30,36.6703337
53,Dealer,0,0,2,BHK,975.0733138,1,1,Noida,28.57,77.32,26.6,36.6568914962406
54,Dealer,0,0,2,BHK,975.2547307,1,1,Noida,28.57,77.32,26.8,36.390101891791
55,Dealer,0,1,2,BHK,854.5454545,1,1,Noida,28.579004,77.431173,23.5,36.3636363617021
56,Dealer,0,0,2,BHK,982.239942,1,1,Noida,28.553374,77.355611,27.1,36.2450163099631
57,Owner,0,1,3,BHK,1430.123099,1,1,Noida,28.44414,77.465898,39.5,36.2056480759494
58,Dealer,0,0,2,BHK,979.7541576,1,1,Noida,28.57,77.32,27.1,36.1532899483395
59,Dealer,0,0,2,BHK,985.2038975,1,1,Noida,28.57,77.32,27.3,36.0880548534799
60,Dealer,0,0,4,BHK,2950.701691,1,1,Noida,28.506454,77.409568,82,35.9841669634146
61,Owner,0,1,3,BHK,1329.500539,1,1,Noida,28.44414,77.465898,37,35.932447
62,Dealer,0,1,3,BHK,1293.103448,1,1,Noida,28.44414,77.465898,36,35.9195402222222
63,Owner,1,0,3,BHK,1184.91921,0,1,Noida,28.579004,77.431173,33,35.9066427272727
64,Dealer,1,0,1,BHK,613.3428981,0,1,Noida,28.553374,77.355611,17.1,35.8680057368421
65,Dealer,0,1,3,BHK,1430.103683,1,1,Noida,28.44414,77.465898,40,35.752592075
66,Owner,0,0,1,BHK,1500,1,1,Noida,28.513121,77.381161,42,35.7
67,Dealer,0,0,2,BHK,918.4763261,1,1,Noida,28.553374,77.355611,25.8,35.5998576007752
68,Dealer,0,0,3,BHK,1350.390903,1,1,Noida,28.552626,77.333948,38,35.5366027105263
69,Dealer,0,0,2,BHK,987.2159091,1,1,Noida,28.553374,77.355611,27.8,35.5113636366906
70,Dealer,0,0,2,BHK,910.0566572,1,1,Noida,28.536585,77.383669,25.7,35.4107648715953
71,Dealer,1,0,2,BHK,955.0760524,0,1,Noida,28.57,77.32,27,35.3731871259259
72,Dealer,0,1,2,BHK,953.0533004,1,1,Noida,28.44414,77.465898,27,35.2982703851852
73,Dealer,0,0,2,BHK,970.0176367,1,1,Noida,28.57,77.32,27.5,35.2733686072727
74,Dealer,1,0,2,BHK,965.1285664,0,1,Noida,28.57,77.32,27.4,35.2236703065693
75,Dealer,0,0,2,BHK,950.0351865,1,1,Noida,28.57,77.32,27,35.1864883888889
76,Dealer,0,0,1,BHK,586.9947276,1,1,Noida,28.553374,77.355611,16.7,35.1493848862275
77,Dealer,0,1,2,BHK,1050.052503,1,1,Noida,28.576117,77.382136,30,35.0017501
78,Dealer,0,0,1,BHK,570.1294159,1,1,Noida,28.553374,77.355611,16.3,34.9772647791411
79,Owner,1,0,3,BHK,1044.932079,0,1,Noida,28.579004,77.431173,30,34.8310693
80,Dealer,0,0,2,BHK,986.4536297,1,1,Noida,28.57,77.32,28.4,34.7342827359155
81,Dealer,0,0,3,BHK,1800.554017,1,1,Noida,28.553374,77.355611,52,34.6260387884615
82,Dealer,0,1,3,BHK,1430.048243,1,1,Noida,28.44414,77.465898,41.5,34.4589938072289
83,Dealer,0,0,3,BHK,1383.344804,1,1,Noida,28.553374,77.355611,40.2,34.4115622885572
84,Owner,0,0,1,BHK,480.1097394,1,1,Noida,19.344689,72.812609,14,34.2935528142857
85,Dealer,1,0,2,BHK,960.2194787,0,1,Noida,28.553374,77.355611,28,34.2935528107143
86,Dealer,0,0,2,BHK,890.106128,1,1,Noida,28.579004,77.431173,26,34.2348510769231
87,Dealer,0,0,1,BHK,587.0307167,1,1,Noida,28.553374,77.355611,17.2,34.1296928313953
88,Dealer,0,0,2,BHK,913.4287662,1,1,Noida,28.552626,77.333948,26.8,34.0831629179104
89,Dealer,0,0,2,BHK,850.0510031,1,1,Noida,28.564519,77.366816,25,34.002040124
90,Dealer,0,1,2,BHK,926.6802444,1,1,Noida,28.44414,77.465898,27.3,33.9443312967033
91,Dealer,0,0,2,BHK,1050.135501,1,1,Noida,28.57,77.32,31,33.8753387419355
92,Dealer,0,1,3,BHK,1428.571429,1,1,Noida,28.44414,77.465898,42.2,33.8524035308057
93,Dealer,0,0,1,BHK,578.3456624,1,1,Noida,28.57,77.32,17.2,33.6247478139535
94,Dealer,0,1,4,BHK,2420.168067,1,1,Noida,28.507373,77.386719,72,33.613445375
95,Owner,1,0,2,BHK,1005.025126,0,1,Noida,28.579004,77.431173,30,33.5008375333333
96,Dealer,0,1,2,BHK,1038.178165,1,1,Noida,28.576117,77.382136,31,33.4896182258065
97,Dealer,0,1,3,BHK,1175.092066,1,1,Noida,28.579004,77.431173,35.1,33.4784064387464
98,Dealer,1,0,2,BHK,897.2648432,0,1,Noida,28.568846,77.324966,26.9,33.3555703791822
99,Dealer,0,1,3,BHK,1293,1,0,Noida,28.579004,77.431173,38.79,33.3333333333333
100,Owner,1,0,2,BHK,1000,0,1,Noida,28.611588,77.437761,30,33.3
101,Owner,0,0,2,BHK,700,1,1,Noida,28.539176,77.3931,21,33.3
102,Dealer,0,1,3,BHK,1430.472389,1,1,Noida,28.44414,77.465898,43,33.266799744186
103,Owner,0,0,2,BHK,895.2254642,1,1,Noida,28.579004,77.431173,27,33.1564986740741
104,Dealer,0,0,3,BHK,1300.03308,1,1,Noida,28.57,77.32,39.3,33.0797221374046
105,Owner,0,1,2,BHK,925.008259,1,1,Noida,28.579004,77.431173,28,33.03600925
106,Dealer,1,0,2,BHK,949.5548961,0,1,Noida,28.5688,77.3425,28.8,32.9706561145833
107,Dealer,0,0,5,BHK,4612.850082,1,1,Noida,28.506454,77.409568,140,32.9489291571429
108,Dealer,0,1,3,BHK,1563.014149,1,1,Noida,28.507373,77.386719,47.5,32.9055610315789
109,Owner,0,0,1,BHK,450.065703,1,1,Noida,28.564519,77.366816,13.7,32.8515111678832
110,Dealer,0,0,1,BHK,587.4630784,1,1,Noida,28.588021,77.391359,17.9,32.8191663910615
111,Dealer,0,0,5,BHK,4588.659456,1,1,Noida,28.506454,77.409568,140,32.7761389714286
112,Dealer,0,0,2,BHK,950.1965924,1,1,Noida,28.57,77.32,29,32.765399737931
113,Dealer,0,1,3,BHK,1339.869281,1,1,Noida,28.579004,77.431173,41,32.6797385609756
114,Dealer,0,1,3,BHK,1200.260926,1,1,Noida,28.44414,77.465898,36.8,32.6157860326087
115,Dealer,0,1,2,BHK,943.0894309,1,1,Noida,28.576117,77.382136,29,32.5203252034483
116,Dealer,1,0,1,BHK,575.4226268,0,1,Noida,28.553374,77.355611,17.7,32.5097529265537
117,Dealer,0,0,1,BHK,650.1950585,1,1,Noida,28.57,77.32,20,32.509752925
118,Dealer,0,0,2,BHK,925.0243427,1,1,Noida,28.552626,77.333948,28.5,32.4569944807018
119,Dealer,0,1,3,BHK,1424.409194,1,1,Noida,28.5041,77.381557,44,32.3729362272727
120,Dealer,1,0,1,BHK,550.1618123,0,1,Noida,28.553374,77.355611,17,32.3624595470588
121,Dealer,0,0,1,BHK,550.1618123,1,1,Noida,28.5688,77.3425,17,32.3624595470588
122,Owner,0,1,1,BHK,550.1618123,1,1,Noida,28.602325,77.401994,17,32.3624595470588
123,Dealer,0,0,2,BHK,1050.080775,1,1,Noida,28.579004,77.431173,32.5,32.3101776923077
124,Dealer,0,0,3,BHK,1350.129199,1,1,Noida,28.579004,77.431173,41.8,32.2997416028708
125,Dealer,0,1,3,BHK,1563.003545,1,1,Noida,28.507373,77.386719,48.5,32.2268772164948
