,POSTED_BY,UNDER_CONSTRUCTION,RERA,BHK_NO.,BHK_OR_RK,SQUARE_FT,READY_TO_MOVE,RESALE,ADDRESS,LONGITUDE,LATITUDE,PRICE_IN_LACS,RATIO
1,Owner,0,0,2,BHK,1800,1,1,Guwahati,26.111754,91.802254,45,40
2,Dealer,1,0,3,BHK,1000,0,1,Guwahati,26.131909,91.805142,30,33.3
3,Dealer,0,0,3,BHK,1250,1,1,Guwahati,26.109987,91.748271,40,31.3
4,Owner,0,0,2,BHK,1080.246914,1,1,Guwahati,26.157856,91.827348,35,30.8641975428571
5,Owner,0,0,2,BHK,1078.91492,1,1,Guwahati,26.141934,91.83335,35,30.8261405714286
6,Dealer,1,0,3,BHK,1243.076923,0,1,Guwahati,26.154874,91.670312,40.4,30.7692307673267
7,Dealer,1,0,3,BHK,1335.384615,0,1,Guwahati,26.154874,91.670312,43.4,30.7692307603687
8,Dealer,0,0,2,BHK,1150.306748,1,1,Guwahati,26.115994,91.78465,37.5,30.6748466133333
9,Dealer,1,0,3,BHK,1363.636364,0,1,Guwahati,26.154874,91.670312,45,30.3030303111111
10,Dealer,1,0,1,BHK,539.3939394,0,1,Guwahati,26.154874,91.670312,17.8,30.3030303033708
11,Owner,1,0,3,BHK,1150.121065,0,1,Guwahati,26.1081,91.7312,38,30.2663438157895
12,Owner,0,0,2,BHK,905.2504526,1,1,Guwahati,26.131909,91.805142,30,30.1750150866667
13,Builder,1,0,2,BHK,898.5074627,0,0,Guwahati,26.154874,91.670312,30.1,29.850746269103
14,Dealer,1,0,3,BHK,1309.52381,0,1,Guwahati,26.115994,91.78465,44,29.7619047727273
15,Owner,0,0,3,BHK,1299.85229,1,1,Guwahati,26.16667,91.76667,44,29.5420975
16,Dealer,1,0,3,BHK,1049.453709,0,1,Guwahati,26.154874,91.670312,36.5,28.7521564109589
17,Dealer,1,0,3,BHK,1340,0,1,Guwahati,26.16667,91.76667,46.9,28.6
18,Dealer,1,0,2,BHK,820,0,1,Guwahati,26.128882,91.732461,28.7,28.6
19,Dealer,1,0,1,BHK,443.1103488,0,0,Guwahati,26.13722,91.62778,15.5,28.5877644387097
20,Dealer,1,0,3,BHK,1323.23521,0,1,Guwahati,26.16667,91.76667,46.3,28.5795941684665
21,Owner,0,0,3,BHK,1428.571429,1,1,Guwahati,26.106134,91.58805,50,28.57142858
22,Builder,1,1,3,BHK,1202.857143,0,0,Guwahati,26.154874,91.670312,42.1,28.5714285748219
23,Dealer,1,0,3,BHK,1074.285714,0,1,Guwahati,26.128882,91.732461,37.6,28.5714285638298
24,Owner,0,0,3,BHK,1276.233693,1,1,Guwahati,26.103211,91.712918,45,28.3607487333333
25,Owner,0,0,2,BHK,950.2515372,1,1,Guwahati,26.16667,91.76667,34,27.9485746235294
26,Owner,1,0,2,BHK,1050.013816,0,1,Guwahati,26.109987,91.748271,38,27.6319425263158
27,Dealer,1,0,3,BHK,1089.813801,0,1,Guwahati,26.154874,91.670312,39.8,27.3822563065327
28,Dealer,1,0,2,BHK,921.4830971,0,1,Guwahati,26.103211,91.712918,33.8,27.2628135236686
29,Dealer,1,0,3,BHK,1464.073474,0,1,Guwahati,29.974075,76.841097,54.2,27.0124257195572
30,Builder,1,0,3,BHK,1077.208809,0,0,Guwahati,29.977332,77.544062,40.6,26.5322366748768
31,Dealer,1,0,3,BHK,1207.078711,0,1,Guwahati,26.109987,91.748271,45.7,26.4131008971554
32,Dealer,1,0,3,BHK,1174.611535,0,1,Guwahati,26.154874,91.670312,44.6,26.3365815022422
33,Dealer,1,0,4,BHK,1802.631579,0,1,Guwahati,26.142985,91.767427,68.5,26.3157894744526
34,Dealer,1,0,4,BHK,1805.33752,0,1,Guwahati,26.142985,91.767427,69,26.164311884058
35,Dealer,1,0,3,BHK,1289.14405,0,1,Guwahati,26.165232,91.821593,49.4,26.0960334008097
36,Dealer,1,0,2,BHK,1172.180255,0,1,Guwahati,26.142985,91.767427,45,26.0484501111111
37,Dealer,1,0,2,BHK,1023.171049,0,1,Guwahati,26.154874,91.670312,39.3,26.0348867430025
38,Dealer,1,0,2,BHK,1020.03643,0,1,Guwahati,26.154874,91.670312,39.2,26.0213375
39,Owner,0,0,1,BHK,1090.059694,1,1,Guwahati,26.157856,91.827348,42,25.9538022380952
40,Dealer,0,0,3,BHK,1606.217617,1,1,Guwahati,26.109987,91.748271,62,25.9067357580645
41,Dealer,1,0,2,BHK,940.0826446,0,1,Guwahati,26.154874,91.670312,36.4,25.8264462802198
42,Dealer,1,0,2,BHK,1050.19305,0,1,Guwahati,26.16667,91.76667,40.8,25.7400257352941
43,Dealer,1,0,2,BHK,1060.070671,0,1,Guwahati,26.16667,91.76667,42,25.2397778809524
44,Dealer,0,0,3,BHK,1458.019105,1,1,Guwahati,26.141158,91.744893,58,25.1382604310345
45,Dealer,1,0,3,BHK,1581.977472,0,1,Guwahati,26.16667,91.76667,63.2,25.0312891139241
46,Dealer,1,0,3,BHK,1635,0,1,Guwahati,26.191749,91.779056,65.4,25
47,Dealer,1,0,3,BHK,1425,0,1,Guwahati,26.142985,91.767427,57,25
48,Dealer,1,0,2,BHK,954.3982058,0,1,Guwahati,26.154874,91.670312,38.3,24.9190132062663
49,Dealer,1,0,2,BHK,1013.847676,0,1,Guwahati,26.142985,91.767427,41,24.727992097561
50,Dealer,1,0,2,BHK,977.8325123,0,1,Guwahati,26.142985,91.767427,39.7,24.6305418715365
51,Owner,0,0,3,BHK,1200.192031,1,1,Guwahati,26.153169,91.783791,50,24.00384062
52,Dealer,1,0,3,BHK,1455.064194,0,1,Guwahati,26.16667,91.76667,61.2,23.7755587254902
53,Dealer,1,0,3,BHK,1527.451901,0,1,Guwahati,26.131909,91.805142,65.1,23.4631628417819
54,Dealer,1,0,3,BHK,994.6047384,0,0,Guwahati,26.142985,91.767427,42.4,23.4576589245283
55,Owner,0,0,3,BHK,1345.083488,1,1,Guwahati,26.13722,91.62778,58,23.1910946206897
56,Owner,0,0,1,BHK,388.0392604,1,1,Guwahati,26.141158,91.744893,17,22.8258388470588
57,Dealer,0,0,2,BHK,1062.146893,1,1,Guwahati,26.152148,91.777178,47,22.5988700638298
58,Dealer,1,0,3,BHK,1400.270149,0,1,Guwahati,26.16667,91.76667,62.2,22.5123818167203
59,Dealer,0,0,3,BHK,1455.767077,1,1,Guwahati,26.109987,91.748271,65,22.3964165692308
60,Dealer,1,0,3,BHK,1288.888889,0,1,Guwahati,26.16667,91.76667,58,22.2222222241379
61,Dealer,0,0,3,BHK,1968.888889,1,1,Guwahati,26.16667,91.76667,88.6,22.2222222234763
62,Dealer,1,0,3,BHK,1311.111111,0,1,Guwahati,26.117108,91.802088,59,22.222222220339
63,Dealer,1,0,2,BHK,969.60284,0,1,Guwahati,26.16667,91.76667,43.7,22.1877080091533
64,Owner,0,0,2,BHK,880.0880088,1,1,Guwahati,26.131909,91.805142,40,22.00220022
65,Dealer,1,0,3,BHK,1308.695652,0,1,Guwahati,26.134947,91.797708,60.2,21.7391304318937
66,Dealer,0,0,3,BHK,1360.103627,1,1,Guwahati,26.117108,91.802088,63,21.5889464603175
67,Dealer,0,0,3,BHK,1151.877133,1,1,Guwahati,26.109987,91.748271,54,21.3310580185185
68,Dealer,1,0,3,BHK,1363.539672,0,1,Guwahati,26.16667,91.76667,64.1,21.2720697659906
69,Owner,0,0,4,BHK,1800.08471,1,1,Guwahati,26.162676,91.769749,85,21.1774671764706
70,Owner,0,0,3,BHK,1099.830795,1,1,Guwahati,26.170841,91.754959,52,21.1505922115385
71,Dealer,0,0,2,BHK,880.1151553,1,1,Guwahati,26.111754,91.802254,42.8,20.5634382079439
72,Dealer,1,0,3,BHK,1163.027953,0,1,Guwahati,22.616946,88.431928,57,20.4039991754386
73,Owner,0,0,3,BHK,850.0303582,1,1,Guwahati,26.163543,91.684482,42,20.238818052381
74,Owner,1,0,2,BHK,1060,0,1,Guwahati,26.134947,91.797708,53,20
75,Owner,0,0,3,BHK,1450.139054,1,1,Guwahati,26.157856,91.827348,73,19.8649185479452
76,Owner,1,0,2,BHK,990.0990099,0,1,Guwahati,29.974075,76.841097,50,19.801980198
77,Owner,0,0,2,BHK,1063.007344,1,1,Guwahati,26.16667,91.76667,55,19.3274062545455
78,Dealer,0,0,4,BHK,2115.384615,1,1,Guwahati,26.16667,91.76667,110,19.2307692272727
79,Dealer,0,0,1,BHK,497.988891,1,1,Guwahati,26.13722,91.62778,26,19.1534188846154
80,Owner,0,0,3,BHK,1345.050215,1,1,Guwahati,26.173331,91.774568,75,17.9340028666667
81,Owner,0,0,3,BHK,1700.071582,1,1,Guwahati,26.16667,91.76667,95,17.8954903368421
82,Dealer,0,0,2,BHK,933.0985915,1,1,Guwahati,26.117108,91.802088,53,17.6056338018868
83,Owner,0,0,3,BHK,1060.010258,1,1,Guwahati,26.16667,91.76667,62,17.0969396451613
84,Dealer,1,0,3,BHK,1658.056991,0,1,Guwahati,26.170841,91.754959,99.5,16.6638893567839
85,Dealer,0,0,3,BHK,1810.10367,1,1,Guwahati,26.16667,91.76667,110,16.4554879090909
86,Dealer,1,0,3,BHK,2142.857143,0,1,Guwahati,26.178374,91.736989,150,14.2857142866667
87,Owner,0,0,3,BHK,1424.095699,1,1,Guwahati,26.109987,91.748271,100,14.24095699
88,Dealer,0,0,1,BHK,452.0412488,1,1,Guwahati,26.109987,91.748271,32,14.126289025
89,Owner,0,0,2,BHK,633.000422,1,1,Guwahati,26.148136,91.786957,45,14.0666760444444
