,POSTED_BY,UNDER_CONSTRUCTION,RERA,BHK_NO.,BHK_OR_RK,SQUARE_FT,READY_TO_MOVE,RESALE,ADDRESS,LONGITUDE,LATITUDE,PRICE_IN_LACS,RATIO
1,Owner,0,0,3,BHK,12596.89922,1,1,Jaipur,26.91667,75.86667,65,193.798449538462
2,Owner,0,0,2,BHK,749.5590829,1,1,Jaipur,26.91667,75.86667,8.5,88.1834215176471
3,Builder,0,0,3,BHK,2800,1,0,Jaipur,26.832353,75.841749,33.6,83.3
4,Owner,0,0,2,BHK,700.1647446,1,1,Jaipur,26.6,75.95,8.5,82.3723228941176
5,Owner,0,0,2,BHK,500,1,1,Jaipur,26.91667,75.86667,6.5,76.9
6,Owner,0,0,2,BHK,849.2731446,1,1,Jaipur,26.900115,75.77761,11.1,76.5110941081081
7,Owner,0,0,2,BHK,849.2731446,1,1,Jaipur,26.900115,75.77761,11.1,76.5110941081081
8,Owner,0,0,1,BHK,750.1875469,1,1,Jaipur,26.748588,75.45094,10,75.01875469
9,Owner,0,0,2,BHK,1200,1,1,Jaipur,26.928785,75.828002,16.5,72.7
10,Dealer,0,0,2,BHK,800,1,1,Jaipur,26.748588,75.45094,11,72.7
11,Dealer,0,0,2,BHK,1000,1,1,Jaipur,26.857412,75.743221,14,71.4
12,Owner,1,0,2,BHK,900.2770083,0,1,Jaipur,10.794455,79.151794,13,69.2520775615385
13,Owner,0,0,2,BHK,999.3108201,1,1,Jaipur,26.575258,75.708545,14.5,68.9179875931034
14,Dealer,0,0,2,BHK,750.3410641,1,1,Jaipur,26.9883,75.5846,11,68.2128240090909
15,Owner,0,0,3,BHK,1650.165017,1,1,Jaipur,26.91667,75.86667,25,66.00660068
16,Dealer,0,0,3,BHK,850.2289078,1,1,Jaipur,26.9883,75.5846,13,65.4022236769231
17,Owner,0,0,1,BHK,350.0954806,1,1,Jaipur,26.928785,75.828002,5.5,63.6537237454545
18,Owner,0,0,1,BHK,564.2633229,1,1,Jaipur,26.773189,75.61191,9,62.6959247666667
19,Dealer,0,0,3,BHK,1550.868486,1,1,Jaipur,26.832353,75.841749,25,62.03473944
20,Owner,0,0,3,BHK,1300.309598,1,1,Jaipur,26.9883,75.5846,21,61.9195046666667
21,Dealer,0,0,2,BHK,794.8243993,1,1,Jaipur,26.9883,75.5846,12.9,61.6142945193798
22,Dealer,0,0,2,BHK,800,1,1,Jaipur,26.9883,75.5846,13,61.5
23,Dealer,0,0,2,BHK,949.754902,1,1,Jaipur,10.794455,79.151794,15.5,61.2745098064516
24,Dealer,0,0,2,BHK,1161.369193,1,1,Jaipur,26.9883,75.5846,19,61.1246943684211
25,Owner,0,1,2,BHK,755.7436518,1,1,Jaipur,26.900912,75.204267,12.5,60.459492144
26,Dealer,0,0,2,BHK,1098.370549,1,1,Jaipur,26.832353,75.841749,18.2,60.3500301648352
27,Owner,0,0,2,BHK,1015.531661,1,1,Jaipur,26.575258,75.708545,17,59.7371565294118
28,Owner,0,0,2,BHK,775.1937984,1,1,Jaipur,10.794455,79.151794,13,59.6302921846154
29,Owner,0,0,2,BHK,950.1187648,1,1,Jaipur,26.9883,75.5846,16,59.3824228
30,Owner,0,0,2,BHK,5000,1,1,Jaipur,26.850391,75.814198,85,58.8
31,Owner,0,0,2,BHK,850.4398827,1,1,Jaipur,26.9883,75.5846,14.5,58.6510263931034
32,Builder,0,0,3,BHK,1094.383324,1,0,Jaipur,26.9883,75.5846,18.9,57.9038795767196
33,Owner,0,0,2,BHK,1215.277778,1,1,Jaipur,26.955346,75.734793,21,57.8703703809524
34,Owner,0,0,1,BHK,1090.074584,1,1,Jaipur,26.91667,75.86667,19,57.3723465263158
35,Dealer,0,0,2,BHK,800,1,1,Jaipur,26.91667,75.86667,14,57.1
36,Owner,0,0,3,BHK,900.3939223,1,1,Jaipur,29.116822,75.767169,16,56.27462014375
37,Owner,0,0,3,BHK,1349.831271,1,1,Jaipur,26.91868,75.750399,24,56.242969625
38,Dealer,0,0,3,BHK,1349.831271,1,1,Jaipur,26.8626,75.7633,24,56.242969625
39,Owner,0,0,3,BHK,1449.275362,1,1,Jaipur,26.9883,75.5846,26,55.7413600769231
40,Owner,0,0,1,BHK,500,1,1,Jaipur,26.928785,75.828002,9,55.6
41,Dealer,0,0,2,BHK,1109.877913,1,1,Jaipur,26.928785,75.828002,20,55.49389565
42,Dealer,0,0,2,BHK,1049.723757,1,1,Jaipur,26.9883,75.5846,19,55.2486187894737
43,Owner,0,0,1,BHK,600.1091107,1,1,Jaipur,27.119087,75.605283,11,54.5553737
44,Dealer,0,0,3,BHK,1359.434475,1,1,Jaipur,26.8626,75.7633,25,54.377379
45,Dealer,0,0,2,BHK,979.9675149,1,1,Jaipur,26.8626,75.7633,18.1,54.1418516519337
46,Owner,0,0,3,BHK,1350.621286,1,1,Jaipur,26.91667,75.86667,25,54.02485144
47,Owner,1,0,2,BHK,650.1880709,0,1,Jaipur,22.471606,70.061222,12.1,53.7345513140496
48,Dealer,0,0,3,BHK,1100.375738,1,1,Jaipur,26.968933,75.755339,20.5,53.6768652682927
49,Dealer,0,0,2,BHK,1100.375738,1,1,Jaipur,26.832353,75.841749,20.5,53.6768652682927
50,Dealer,0,0,2,BHK,1100.375738,1,1,Jaipur,26.832353,75.841749,20.5,53.6768652682927
51,Dealer,0,0,2,BHK,749.8660953,1,1,Jaipur,26.9883,75.5846,14,53.56186395
52,Dealer,0,0,3,BHK,1063.264221,1,1,Jaipur,26.91667,75.86667,20,53.16321105
53,Dealer,0,0,2,BHK,950.3695882,1,1,Jaipur,26.8626,75.7633,18,52.7983104555556
54,Dealer,0,0,3,BHK,1574.80315,1,1,Jaipur,26.928785,75.828002,30,52.4934383333333
55,Dealer,0,0,2,BHK,1100.052383,1,1,Jaipur,26.532207,75.520538,21,52.3834468095238
56,Dealer,0,0,2,BHK,700.2074689,1,1,Jaipur,26.9883,75.5846,13.5,51.8672199185185
57,Owner,0,1,2,BHK,925.4498715,1,1,Jaipur,26.928785,75.828002,18,51.41388175
58,Dealer,0,0,2,BHK,1000,1,1,Jaipur,26.9883,75.5846,19.5,51.3
59,Owner,0,0,2,BHK,720.1225741,1,1,Jaipur,26.900115,75.77761,14.1,51.0725229858156
60,Owner,0,0,3,BHK,1238.53211,1,1,Jaipur,26.9883,75.5846,24.3,50.9683995884774
61,Dealer,0,0,3,BHK,1772.151899,1,1,Jaipur,26.832353,75.841749,35,50.6329114
62,Owner,1,1,3,BHK,1765.002521,0,1,Jaipur,26.928785,75.828002,35,50.4286434571429
63,Dealer,0,0,2,BHK,1099.949774,1,1,Jaipur,26.9883,75.5846,21.9,50.2260170776256
64,Owner,0,0,3,BHK,2000,1,1,Jaipur,26.8626,75.7633,40,50
65,Dealer,0,0,3,BHK,1300,1,1,Jaipur,26.832353,75.841749,26,50
66,Owner,0,0,2,BHK,1250,1,1,Jaipur,26.928785,75.828002,25,50
67,Dealer,0,1,3,BHK,1200,1,1,Jaipur,26.928785,75.828002,24,50
68,Dealer,0,0,3,BHK,1000,1,1,Jaipur,26.968933,75.755339,20,50
69,Owner,0,0,2,BHK,950,1,1,Jaipur,26.964285,75.64521,19,50
70,Owner,0,0,2,BHK,760,1,1,Jaipur,26.349343,84.423219,15.2,50
71,Owner,0,0,1,BHK,500,1,1,Jaipur,26.900115,75.77761,10,50
72,Dealer,0,0,3,BHK,1995.012469,1,1,Jaipur,26.8626,75.7633,40,49.875311725
73,Dealer,0,0,2,BHK,1090.094574,1,1,Jaipur,26.832353,75.841749,21.9,49.7760079452055
74,Dealer,0,0,2,BHK,799.8012916,1,1,Jaipur,26.968933,75.755339,16.1,49.6770988571429
75,Owner,0,0,2,BHK,1487.357462,1,1,Jaipur,26.8626,75.7633,30,49.5785820666667
76,Owner,0,0,1,BHK,484.9084612,1,1,Jaipur,26.928785,75.828002,9.8,49.4804552244898
