,POSTED_BY,UNDER_CONSTRUCTION,RERA,BHK_NO.,BHK_OR_RK,SQUARE_FT,READY_TO_MOVE,RESALE,ADDRESS,LONGITUDE,LATITUDE,PRICE_IN_LACS,RATIO
1,Dealer,0,0,1,BHK,495.049505,1,1,Mumbai,18.96667,72.83333,11,45.0045004545455
2,Builder,1,1,1,BHK,553.1197302,0,0,Mumbai,18.96667,72.83333,16.4,33.7268128170732
3,Dealer,0,0,2,BHK,828.0887711,1,0,Mumbai,18.96667,72.83333,25,33.123550844
4,Dealer,0,0,1,BHK,695.1340616,1,1,Mumbai,18.96667,72.83333,21,33.1016219809524
5,Builder,0,1,1,BHK,534.8101266,1,0,Mumbai,18.96667,72.83333,16.9,31.6455696213018
6,Dealer,0,0,1,BHK,626.5586035,1,1,Mumbai,18.96667,72.83333,20.1,31.1720698258706
7,Dealer,1,0,1,BHK,615.1468315,0,1,Mumbai,18.96667,72.83333,19.9,30.911901080402
8,Dealer,1,0,1,BHK,547.4006116,0,1,Mumbai,18.96667,72.83333,17.9,30.5810397541899
9,Dealer,0,0,1,BHK,665.0901567,1,1,Mumbai,18.728912,72.926902,22.5,29.55956252
10,Dealer,0,0,2,BHK,848.590526,1,1,Mumbai,18.96,72.82,29.2,29.0613193835616
11,Dealer,0,0,2,BHK,1045.296167,1,1,Mumbai,18.96667,72.83333,36,29.0360046388889
12,Dealer,1,0,1,BHK,710.1449275,0,1,Mumbai,18.96667,72.83333,24.5,28.985507244898
13,Dealer,0,0,1,BHK,678.6941581,1,1,Mumbai,18.96667,72.83333,23.7,28.6368843080169
14,Dealer,0,0,2,BHK,840.1008121,1,1,Mumbai,18.96667,72.83333,30,28.0033604033333
15,Dealer,0,0,1,BHK,615.0405368,1,1,Mumbai,18.96667,72.83333,22,27.9563880363636
16,Dealer,0,0,1,BHK,590.0109769,1,1,Mumbai,18.96667,72.83333,21.5,27.4423710186047
17,Dealer,0,0,2,BHK,850.0137099,1,1,Mumbai,18.96,72.82,31,27.4197970935484
18,Dealer,0,0,1,BHK,665.7534247,1,1,Mumbai,19.239463,73.008955,24.3,27.3972602757202
19,Dealer,0,1,1,BHK,585.0340136,1,1,Mumbai,18.96667,72.83333,21.5,27.2108843534884
20,Dealer,1,0,1,BHK,947.5970676,0,1,Mumbai,18.96667,72.83333,34.9,27.1517784412607
21,Dealer,0,1,1,BHK,760.0434311,1,1,Mumbai,19.3,73.06667,28,27.1444082535714
22,Dealer,0,0,1,BHK,570.1161848,1,1,Mumbai,18.96667,72.83333,21.1,27.0197243981043
23,Dealer,0,0,1,BHK,685.1155293,1,1,Mumbai,18.96667,72.83333,25.5,26.8672756588235
24,Dealer,0,1,2,BHK,907.6305221,1,1,Mumbai,19.076057,73.097319,33.9,26.7737617138643
25,Dealer,0,1,1,BHK,693.1484937,1,1,Mumbai,18.96,72.82,26,26.65955745
26,Dealer,1,0,2,BHK,1100.052383,0,1,Mumbai,18.96667,72.83333,42,26.1917234047619
27,Dealer,0,1,1,BHK,560.0416775,1,1,Mumbai,18.96667,72.83333,21.5,26.0484501162791
28,Dealer,0,1,2,BHK,950.0886749,1,1,Mumbai,19.4559,72.8114,37.5,25.3356979973333
29,Dealer,0,0,2,BHK,1256.281407,1,1,Mumbai,28.390964,77.334229,50,25.12562814
30,Dealer,1,0,1,BHK,575.0878955,0,1,Mumbai,19.892883,74.474654,22.9,25.1130085371179
31,Dealer,0,0,2,BHK,950,1,1,Mumbai,19.4559,72.8114,38,25
32,Dealer,1,0,1,BHK,675,0,1,Mumbai,18.96667,72.83333,27,25
33,Dealer,1,0,1,BHK,530.0788955,0,1,Mumbai,18.728912,72.926902,21.5,24.6548323488372
34,Dealer,0,1,1,BHK,649.9877361,1,1,Mumbai,18.96,72.82,26.5,24.5278390981132
35,Dealer,1,1,1,BHK,625,0,1,Mumbai,18.96667,72.83333,25.5,24.5
36,Dealer,1,1,2,BHK,784.64923,0,1,Mumbai,18.96667,72.83333,32.1,24.4439012461059
37,Dealer,1,0,1,BHK,610.0536847,0,1,Mumbai,18.96667,72.83333,25,24.402147388
38,Dealer,0,0,1,BHK,670.0167504,1,1,Mumbai,19.239463,73.008955,28,23.9291696571429
39,Dealer,0,1,2,BHK,1050.119332,1,1,Mumbai,19.076057,73.097319,44,23.8663484545455
40,Dealer,1,1,2,BHK,898.6889154,0,1,Mumbai,18.96667,72.83333,37.7,23.837902265252
41,Dealer,0,0,2,BHK,1022.835395,1,1,Mumbai,28.5822,77.3293,43,23.7868696511628
42,Dealer,0,0,2,BHK,935.1325758,1,1,Mumbai,18.96667,72.83333,39.5,23.6742424253165
43,Dealer,0,0,1,BHK,500,1,1,Mumbai,19.35269,72.864824,21.3,23.5
44,Dealer,0,0,2,BHK,976.9713887,1,1,Mumbai,28.5822,77.3293,42,23.2612235404762
45,Dealer,0,0,1,BHK,729.1666667,1,1,Mumbai,19.2167,73.0833,31.5,23.1481481492063
46,Dealer,0,1,3,BHK,1520.036849,1,1,Mumbai,19.076057,73.097319,66,23.0308613484848
47,Dealer,0,1,2,BHK,864.6188851,1,1,Mumbai,19.4559,72.8114,38,22.7531285552632
48,Dealer,0,1,1,BHK,650,1,0,Mumbai,18.96,72.82,28.6,22.7
