,POSTED_BY,UNDER_CONSTRUCTION,RERA,BHK_NO.,BHK_OR_RK,SQUARE_FT,READY_TO_MOVE,RESALE,ADDRESS,LONGITUDE,LATITUDE,PRICE_IN_LACS,RATIO
88,Owner,0,0,6,BHK,2040.087724,1,1,Nagpur,20.746141,78.616524,400,5.10021931
56,Owner,0,0,4,BHK,3988.035892,1,1,Nagpur,20.802556,80.128914,320,29.2779205077941
193,Dealer,0,0,3,BHK,1800.018,1,1,Nagpur,21.134389,79.073353,200,9.00009
60,Owner,0,0,3,BHK,1991.565136,1,1,Nagpur,21.152819,79.069531,170,11.7150890352941
265,Dealer,0,1,4,BHK,1625.406352,1,0,Nagpur,21.15389,79.08306,130,40.0535275699095
23,Dealer,0,0,3,BHK,1487.910725,1,1,Nagpur,21.14728,79.044557,120,12.3992560416667
87,Dealer,0,1,3,BHK,1900.23753,1,1,Nagpur,21.134389,79.073353,120,15.83531275
259,Owner,0,0,3,BHK,1459.321416,1,1,Nagpur,21.134389,79.073353,120,42.9955745863636
8,Owner,0,0,3,BHK,1609.834626,1,1,Nagpur,21.15389,79.08306,110,14.6348602363636
109,Owner,0,0,3,BHK,1649.917504,1,1,Nagpur,21.108302,79.05766,110,14.9992500363636
287,Owner,0,0,2,BHK,1500,1,1,Nagpur,21.15389,79.08306,97.5,46.5076964432012
207,Owner,0,0,3,BHK,1375.12938,1,1,Nagpur,21.14728,79.044557,93,14.7863374193548
32,Owner,0,0,3,BHK,1451.144792,1,1,Nagpur,21.105779,79.078497,90,16.1238310222222
104,Owner,0,0,3,BHK,1500,1,1,Nagpur,20.742166,80.104602,90,53.017034902372
120,Owner,0,0,3,BHK,1550.120565,1,1,Nagpur,21.151313,79.126071,90,17.2235618333333
72,Dealer,0,0,3,BHK,1800.161812,1,1,Nagpur,21.09622,79.065033,89,20.2265372134831
159,Dealer,1,0,3,BHK,1860.166774,0,1,Nagpur,21.10666,79.041857,87,55.3742843243688
96,Owner,0,0,3,BHK,1350.063532,1,1,Nagpur,21.14728,79.044557,85,15.8831003764706
127,Owner,0,0,2,BHK,1170.154185,1,1,Nagpur,21.1335,79.0552,85,13.7665198235294
214,Owner,0,0,2,BHK,1170.154185,1,1,Nagpur,21.148334,79.093201,85,44.7952526588235
221,Dealer,0,0,3,BHK,1650.165017,1,1,Nagpur,21.174686,79.045846,85,19.4137060823529
321,Owner,0,0,3,BHK,1467.288106,1,1,Nagpur,21.15389,79.08306,85,17.2622130117647
35,Owner,0,0,3,BHK,1600,1,1,Nagpur,21.151313,79.126071,80,48.6374831742647
43,Owner,0,0,3,BHK,1867.413632,1,1,Nagpur,21.174686,79.045846,80,23.3426704
226,Dealer,0,0,2,BHK,910.021613,1,1,Nagpur,21.152819,79.069531,80,11.3752701625
318,Owner,0,0,3,BHK,1325,1,1,Nagpur,21.15389,79.08306,79.5,45.3759635225
153,Dealer,0,0,3,BHK,1350.135014,1,1,Nagpur,21.15389,79.08306,75,18.0018001866667
175,Dealer,0,0,3,BHK,1300.052002,1,1,Nagpur,21.100535,79.060612,75,17.3340266933333
316,Owner,0,0,3,BHK,1150.130348,1,1,Nagpur,20.742166,80.104602,75,50.478537
334,Dealer,0,0,3,BHK,1749.883341,1,1,Nagpur,21.111835,79.038732,75,23.33177788
279,Owner,0,0,3,BHK,1300.089047,1,1,Nagpur,21.186804,79.105106,73,17.809439
172,Owner,0,0,3,BHK,1200,1,1,Nagpur,21.108188,79.072445,72,44.7620550595238
54,Owner,0,0,3,BHK,1382.033564,1,1,Nagpur,21,77,70,19.7433366285714
163,Owner,0,0,2,BHK,720.0164575,1,1,Nagpur,21.127425,79.060767,70,10.2859493928571
236,Owner,0,0,3,BHK,1200.068575,1,1,Nagpur,21.108188,79.072445,70,44.6771128452381
111,Owner,0,0,2,BHK,1125,1,1,Nagpur,21.1373,79.0565,69.3,16.2337662337662
11,Owner,0,0,2,BHK,1190.06554,1,1,Nagpur,21.167998,79.112474,69,17.2473266666667
258,Owner,0,0,2,BHK,1290.201945,1,1,Nagpur,21.167998,79.112474,69,52.6125722463769
164,Owner,0,0,3,BHK,2500,1,1,Nagpur,21.094632,79.074805,67,37.3134328358209
117,Builder,1,0,2,BHK,1110,0,0,Nagpur,21.1335,79.0552,66.6,16.6666666666667
144,Builder,1,1,2,BHK,1090,0,0,Nagpur,21.116978,79.058407,65.4,49.4884221794872
9,Owner,0,0,2,BHK,1240.221332,1,1,Nagpur,20.75,78.61667,65,19.0803281846154
149,Owner,0,0,2,BHK,1050.080775,1,1,Nagpur,21.1373,79.0565,65,16.1550888461538
156,Owner,0,0,2,BHK,1100.016923,1,1,Nagpur,21.113125,79.060322,65,51.7735093230769
162,Owner,1,0,3,BHK,1625,0,1,Nagpur,21.094632,79.074805,65,25
196,Dealer,0,0,2,BHK,1215.180408,1,1,Nagpur,21.10666,79.041857,65,18.6950832
282,Owner,0,0,2,BHK,1150.035386,1,1,Nagpur,21.1346,79.0812,65,49.2084481128205
209,Dealer,0,0,3,BHK,1400,1,1,Nagpur,21.105779,79.078497,63,22.2222222222222
180,Dealer,0,0,4,BHK,800,1,1,Nagpur,21.151313,79.126071,62.4,12.8205128205128
306,Dealer,0,0,3,BHK,1348.888889,1,1,Nagpur,21.164965,79.064567,60.7,55.0427350445655
38,Owner,0,0,3,BHK,1515.151515,1,1,Nagpur,21.116978,79.058407,60,25.25252525
62,Owner,0,0,3,BHK,1200,1,1,Nagpur,21.124831,79.115257,60,20
181,Owner,1,1,2,BHK,1200,0,1,Nagpur,21.15389,79.08306,60,56.7504187666667
240,Owner,0,0,2,BHK,1300.108342,1,1,Nagpur,21.09622,79.065033,60,21.6684723666667
